CIEL ID,Concept UUID,English preferred name,Spanish preferred name,Spanish names,Has Spanish,Has exactly one preferred Spanish,All Spanish names have external_id
146882,146882AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchitis due to fumes and/or vapors,bronquitis por humos Y/O vapores,2,True,True,True
146881,146881AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchocele,broncocele,1,True,True,True
146880,146880AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchocutaneous fistula,fístula broncocutánea,1,True,True,True
146879,146879AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Broncho-esophageal fistula,,0,False,False,True
146878,146878AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Broncholithiasis,broncolitiasis,1,True,True,True
146876,146876AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchomoniliasis,broncomoniliasis,1,True,True,True
146875,146875AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchopleural fistula,fístula broncopleural,1,True,True,True
146874,146874AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchopneumonia,bronconeumonía,1,True,True,True
146873,146873AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchopulmonary dysplasia of newborn,Displasia broncopulmonar del recién nacido,1,True,True,True
146872,146872AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronchorrhea,broncorrea,1,True,True,True
146871,146871AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Acute bronchospasm,Broncoespasmo agudo,1,True,True,True
146870,146870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronze cirrhosis,cirrosis bronceada,1,True,True,True
146869,146869AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bronze diabetes,diabetes bronceada,1,True,True,True
146868,146868AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Brown oculocutaneous albinism,albinismo oculocutáneo pardo,1,True,True,True
146867,146867AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Brown-Sequard syndrome,síndrome de Brown - Séquard,1,True,True,True
146866,146866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bruck syndrome,osteogénisis imperfecta con contractura articular congénita,1,True,True,True
146865,146865AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bruises easily,facilidad para la formación de hematomas,1,True,True,True
146864,146864AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bruising in fetus or newborn,contusión en el feto O recién nacido,1,True,True,True
146863,146863AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bruising of cord,contusión de cordón,1,True,True,True
146862,146862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bruit,frote,1,True,True,True
146861,146861AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Brunner's gland adenoma,adenoma de la glándula de Brunner,1,True,True,True
